"text","emoji","role/link","long_name","create_channels"
"CEG 2170",,"CEG 2170","Introduction to C Programming for Scientists and Engineers","#ceg2170,0#Student Voice,2#TA Voice"
"CEG 2350",,"CEG 2350","Operating System Concepts and Usage","#ceg2350,0#Student Voice,2#TA Voice"
"CEG 2400",,"CEG 2400","Introduction to PC Networking","#ceg2400,0#Student Voice,2#TA Voice"
"CEG 3110",,"CEG 3110","Introduction to Software Testing","#ceg3110,0#Student Voice,2#TA Voice"
"CEG 3120",,"CEG 3120","Introduction to the Design of Information Technology Systems","#ceg3120,0#Student Voice,2#TA Voice"
"CEG 3310",,"CEG 3310","Computer Organization","#ceg3310,0#Student Voice,2#TA Voice"
"CEG 3320",,"CEG 3320","Digital System Design","#ceg3320,0#Student Voice,2#TA Voice"
"CEG 3400",,"CEG 3400","Introduction to Cyber Security","#ceg3400,0#Student Voice,2#TA Voice"
"CEG 3500",,"CEG 3500","Introduction to Augmented & Virtual Reality","#ceg3500,0#Student Voice,2#TA Voice"
"CEG 4110",,"CEG 4110","Introduction to Software Engineering","#ceg4110,0#Student Voice,2#TA Voice"
"CEG 4230",,"CEG 4230","Introduction to Robotics","#ceg4230,0#Student Voice,2#TA Voice"
"CEG 4322",,"CEG 4322","Very Large Scale Integrated Circuit Design","#ceg4322,0#Student Voice,2#TA Voice"
"CEG 4324",,"CEG 4324","Digital Integrated Circuit Design with PLDs and FPGAs","#ceg4324,0#Student Voice,2#TA Voice"
"CEG 4330",,"CEG 4330","Microprocessor-Based Embedded Systems","#ceg4330,0#Student Voice,2#TA Voice"
"CEG 4350",,"CEG 4350","Operating System Internals and Design","#ceg4350,0#Student Voice,2#TA Voice"
"CEG 4420",,"CEG 4420","Host Computer Security","#ceg4420,0#Student Voice,2#TA Voice"
"CEG 4422",,"CEG 4422","Secure Computing Practices","#ceg4422,0#Student Voice,2#TA Voice"
"CEG 4424",,"CEG 4424","Security Attacks and Defenses","#ceg4424,0#Student Voice,2#TA Voice"
"CEG 4430",,"CEG 4430","Cyber Network Security","#ceg4430,0#Student Voice,2#TA Voice"
"CEG 4980",,"CEG 4980","Team Projects I","#ceg4980,0#Student Voice,2#TA Voice"
"CEG 4981",,"CEG 4981","Team Projects II","#ceg4981,0#Student Voice,2#TA Voice"
"CEG 6110",,"CEG 4110","Introduction to Software Engineering",
"CEG 6230",,"CEG 4230","Introduction to Robotics",
"CEG 6322",,"CEG 6322","VLSI Design","#ceg6322,0#Student Voice,2#TA Voice"
