text,emoji,role/link,long_name,create_channels
CEG 1900,,CEG 1900,Internship,"#ceg1900,0#Student Voice,2#TA Voice"
CEG 2350,,CEG 2350,Operating System Concepts and Usage,"#ceg2350,0#Student Voice,2#TA Voice"
CEG 2400,,CEG 2400,Introduction to PC Networking,"#ceg2400,0#Student Voice,2#TA Voice"
CEG 2410,,CEG 2410,System Administration,"#ceg2410,0#Student Voice,2#TA Voice"
CEG 3120,,CEG 3120,Introduction to the Design of Information Technology Systems,"#ceg3120,0#Student Voice,2#TA Voice"
CEG 3310,,CEG 3310,Computer Organization,"#ceg3310,0#Student Voice,2#TA Voice"
CEG 3320,,CEG 3320,Digital System Design,"#ceg3320,0#Student Voice,2#TA Voice"
CEG 3400,,CEG 3400,Introduction to Cyber Security,"#ceg3400,0#Student Voice,2#TA Voice"
CEG 3410,,CEG 3410,Introduction to Digital Forensics,"#ceg3410,0#Student Voice,2#TA Voice"
CEG 4110,,CEG 4110,Introduction to Software Engineering,"#ceg4110,0#Student Voice,2#TA Voice"
CEG 4120,,CEG 4120,Managing the Software Development Process,"#ceg4120,0#Student Voice,2#TA Voice"
CEG 4324,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,"#ceg4324,0#Student Voice,2#TA Voice"
CEG 4326,,CEG 4326,IC Hardware Security and Trust,"#ceg4326,0#Student Voice,2#TA Voice"
CEG 4350,,CEG 4350,Operating System Internals and Design,"#ceg4350,0#Student Voice,2#TA Voice"
CEG 4420,,CEG 4420,Host Computer Security,"#ceg4420,0#Student Voice,2#TA Voice"
CEG 4424,,CEG 4424,Security Attacks and Defenses,"#ceg4424,0#Student Voice,2#TA Voice"
CEG 4426,,CEG 4426,Legal Aspects of Cyber Security,"#ceg4426,0#Student Voice,2#TA Voice"
CEG 4430,,CEG 4430,Cyber Network Security,"#ceg4430,0#Student Voice,2#TA Voice"
CEG 4750,,CEG 4750,Information Security,"#ceg4750,0#Student Voice,2#TA Voice"
CEG 4900 (Trustworthy Machine Learning),,CEG 4900 (Trustworthy Machine Learning),Trustworthy Machine Learning,"#ceg-4900-trustworthy-machine-learning,0#Student Voice,2#TA Voice"
CEG 4900 (Intro to VR and AR),,CEG 4900 (Intro to VR and AR),Intro to VR and AR,"#ceg-4900-intro-to-vr-and-ar,0#Student Voice,2#TA Voice"
CEG 4980,,CEG 4980,Team Projects I,"#ceg4980,0#Student Voice,2#TA Voice"
CEG 4981,,CEG 4981,Team Projects II,"#ceg4981,0#Student Voice,2#TA Voice"
CEG 5310,,CEG 3310,Computer Organization,
CEG 5320,,CEG 3320,Digital System Design,
CEG 5350,,CEG 5350,Operating Systems Internals and Design,"#ceg5350,0#Student Voice,2#TA Voice"
